epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8656,0.89546,2.32231,1.28622,0,0,0,0,4.50071,6.33674,26.0599,0.000647059,0.000647059,0.000647059
2,29.0877,1.00268,1.29279,1.25121,0,0,0,0,nan,nan,nan,0.00118367,0.00118367,0.00118367
3,43.1578,1.06924,1.11981,1.28323,0,0,0,0,nan,nan,nan,0.00158827,0.00158827,0.00158827
4,57.108,0.93059,0.96011,1.20687,0,0,0,0,nan,nan,nan,0.001406,0.001406,0.001406
5,71.1139,0.83087,0.73099,1.11374,0.05501,0.47059,0.03603,0.02306,nan,nan,nan,0.001208,0.001208,0.001208
6,85.4285,0.70515,0.63984,1.02905,0.72114,0.79412,0.80222,0.62544,0.8,5.45693,1.11282,0.00101,0.00101,0.00101
7,99.5395,0.70125,0.62386,1.0414,0.8434,0.97059,0.93815,0.69649,0.79835,1.60535,1.20518,0.000812,0.000812,0.000812
8,113.739,0.60922,0.55797,0.99354,0.85935,0.91176,0.95488,0.82323,0.53034,0.64508,0.95865,0.000614,0.000614,0.000614
9,128.125,0.5705,0.48844,0.97901,0.87338,0.91176,0.95335,0.78841,0.51644,0.52444,0.98642,0.000416,0.000416,0.000416
10,141.285,0.54392,0.46898,0.95891,0.91099,0.90323,0.96128,0.81125,0.4481,0.44554,0.94825,0.000218,0.000218,0.000218
